STATION,STATION_NAME,DATE,PRCP,TAVG,TMAX,TMIN,AWND
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160102,0.00,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160104,0.04,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160105,0.09,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160106,0.21,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160107,0.01,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160108,0.00,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160109,0.00,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160110,0.00,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160111,0.00,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160112,0.31,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160113,1.58,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160114,0.21,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160115,0.00,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160116,0.27,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160118,0.40,-9999,-9999,-9999,-9999
GHCND:US1WAJF0015,PORT LUDLOW 3.6 S WA US,20160119,0.07,-9999,-9999,-9999,-9999
